Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Fraternal Order of Eagles Aerie # 545,120801366,Shiloh,5,3649433.28,3393339.74,256093.54,1015007,758913.36,256093.64,76828.93,64024.11,12804.82
FRATERNAL ORDER OF EAGLES AERIE #1425,120811385,Taylorville,3,361177.53,329623.98,31553.55,102842,71288.45,31553.55,9466.26,7888.57,1577.69
"Fraternal Order of Eagles Aerie #679, Inc.",120803129,Freeport,5,3457034.3,3148332.34,308701.96,1118002,809300.04,308701.96,92611.09,77175.93,15435.16
Fraternal Order of Eagles Aerie 4000,150801088,Paris,3,645026.28,601568.47,43457.81,251444,207986.06,43457.94,13037.77,10864.8,2172.97
FRATERNAL ORDER OF EAGLES AERIE 956,120803190,Rock Island,2,426338.48,392733.16,33605.32,121185,87579.68,33605.32,10081.82,8401.49,1680.33
Fraternal Order of Eagles Carmel Aerie No. 3066,120809215,Mount Carmel,5,2416087.16,2236258.9,179828.26,596520,416691.92,179828.08,53949.23,44957.7,8991.53
Fraternal Order of Eagles Granite City Aerie #1126,130803950,Granite City,5,1947376.63,1792990.72,154385.91,604660,450274.09,154385.91,46316.35,38596.98,7719.37
Fraternal Order of Eagles Illini Aerie #2688 Peru Ill.,130805292,Peru,3,58745.81,51533.47,7212.34,20250,13037.66,7212.34,2163.7,1803.1,360.6
Fraternal Order of Eagles McLeansboro-Aerie #2699,130806037,Mcleansboro,5,2540129.05,2332732.53,207396.52,687349,479952.48,207396.52,62219.71,51849.77,10369.94
"Fraternal Order of Eagles No. 1024 Morris, IL",120800264,Morris,4,785383.86,720114.81,65269.05,277118,211848.95,65269.05,19581.07,16317.58,3263.49
"FRATERNAL ORDER OF EAGLES NO. 3438, MATTOON, ILLINOIS",120801980,Mattoon,5,2360839.63,2168610.36,192229.27,825061,632831.73,192229.27,57669.12,48057.62,9611.5
"FRATERNAL ORDER OF EAGLES ROCKFORD AERIE NO. 392, INC.",120804187,Rockford,5,4824771,4445636.06,379134.94,1513084,1133949.06,379134.94,113740.98,94784.17,18956.81
"Fraternal Order of Eagles, Aerie 2444",120810900,Zeigler,5,1918384.36,1778082.29,140302.07,544837,404534.93,140302.07,42091.07,35075.93,7015.14
"Fraternal Order of Eagles, Aerie No. 3059",120804605,Sparta,5,2044990.85,1891149.51,153841.34,698203,544361.66,153841.34,46153.27,38461.07,7692.2
"Fraternal Order of Eagles, Blue Island Aerie 1332, Ltd",120806167,Blue Island,5,1459265.68,1340391.66,118874.02,519471,400596.97,118874.03,35662.73,29718.97,5943.76
"Fraternal Order of Eagles, Chester Aerie No. 3252",120810163,Chester,5,2458158.95,2266408.16,191750.79,724836,533084.91,191751.09,57525.86,47938.22,9587.64
"Fraternal Order of Eagles, Decatur Aerie # 507",150802918,Decatur,3,777821.48,714223.84,63597.64,234781,171183.36,63597.64,19079.7,15899.76,3179.94
"Fraternal Order of Eagles, No. 2783",120805501,Rock Falls,4,595850.2,544516.28,51333.92,173531,122197.08,51333.92,15400.62,12833.85,2566.77
"Frazier's Family, LLC",170700490,Tamaroa,5,74672.12,67980.54,6691.58,22277,15585.86,6691.14,2007.45,1672.87,334.58
FREAK INC.,130700879,Macomb,3,1422152.51,1310190.3,111962.21,306336,194373.94,111962.06,33588.78,27990.65,5598.13
"Fred and Scottmo Enterprises, LLC",170702964,Altamont,4,686052.73,631582.63,54470.1,214366,159889.17,54476.83,16343.21,13619.35,2723.86
FRED'S LLC,120711946,Harvel,4,140245.82,124917.97,15327.85,46591,31263.15,15327.85,4598.56,3832.13,766.43
FREDERICK M. KOCHER POST 4183 VETERANS OF FOREIGN WARS OF THE UNITED STATES,140901263,St. Clair County,5,3145733.08,2898579.1,247153.98,846790,599636.02,247153.98,74146.91,61789.13,12357.78
"Frederking's Eagles Nest, Inc.",150704220,Addieville,4,993189.28,918364.71,74824.57,356441,281616.23,74824.77,22447.78,18706.53,3741.25
Fredstran Limited,130706354,Northlake,5,1470262.94,1353872.41,116390.53,468099,351708.39,116390.61,34917.34,29097.79,5819.55
Freedom Oil Company,131005592,McLean County,5,5793805.03,5364756.04,429048.99,1819083,1390012.44,429070.56,128721.74,107268.14,21453.6
Freedom Oil Company,170700127,Pontiac,5,1368664.39,1234858.42,133805.97,443375,309569.03,133805.97,40142.65,33452.23,6690.42
Freedom Oil Company,180700148,Toluca,4,12354.87,9799.85,2555.02,5156,2600.98,2555.02,766.49,638.74,127.75
Freedom Oil Company,131004889,Peoria County,5,6268851.47,5709686.13,559165.34,1895350,1336184.66,559165.34,167750.18,139791.82,27958.36
Freedom Oil Company,131005730,Bloomington,5,6470297.65,5908065.26,562232.39,2137628,1575268.26,562359.74,168708.52,140590.47,28118.05
Freedom Oil Company,180700055,Assumption,5,722134.66,664164.67,57969.99,231515,173545.01,57969.99,17391.31,14492.78,2898.53
Freedom Oil Company,170702622,Lexington,5,1254337.2,1139705.46,114631.74,393653,279021.26,114631.74,34390.02,28658.36,5731.66
Freedom Oil Company,170702121,El Paso,5,1454547.18,1320356.16,134191.02,442566,308374.88,134191.12,40257.95,33548.32,6709.63
"FREEH'S, INC.",130703782,Matteson,5,3435683.98,3179854.03,255829.95,1208755,952925.05,255829.95,76749.79,63958.19,12791.6
"Freeman's Tavern, Inc.",150703569,Royal,3,458433.35,418920.95,39512.4,149152,109639.6,39512.4,11854.13,9878.47,1975.66
"Freeport Lanes, Inc.",120709451,Freeport,5,4383642.97,4057795.09,325847.88,1464508,1138628.76,325879.24,97764.37,81470.34,16294.03
"Freeport Lanes, Inc.",140700356,Freeport,5,4358142.37,4032585.48,325556.89,1415036,1089479.28,325556.72,97667.69,81389.76,16277.93
"Freeport Lodge No. 162, Loyal Order of Moose",120806489,Freeport,5,2021485.8,1860046.08,161439.72,649924,488484.28,161439.72,48432.7,40360.6,8072.1
"Friday Nite Lites, Inc.",130702355,Olney,1,483358.78,437503.99,45854.79,131414,85559.21,45854.79,13756.67,11463.9,2292.77
Friday's South Inc.,120701246,Belleville,5,3966386.45,3683853.65,282532.8,1216692,934158.83,282533.17,84760.38,70633.69,14126.69
Friday's South inc.,120701244,Collinsville,3,4802709.45,4440008.47,362700.98,1351044,988343.02,362700.98,108810.56,90675.48,18135.08
Friday's South Inc.,120700389,Collinsville,4,1539229.86,1430334.22,108895.64,468844,359947.77,108896.23,32669.09,27224.25,5444.84
Frieden USA Inc.,150700603,DeKalb,5,3507638.99,3219991.56,287647.43,1103890,816242.52,287647.48,86294.96,71912.49,14382.47
"Friedman Enterprises, Inc.",120702196,Bartlett,5,5284173.47,4867980.83,416192.64,1578521,1162328.41,416192.59,124858.42,104048.7,20809.72
Friendly Bar of Assumption Inc.,150703425,Assumption,5,990727.34,906312.78,84414.56,280976,196561.44,84414.56,25324.87,21104.07,4220.8
Friendly Inc.,120707756,Berwyn,5,1242756.61,1149902.94,92853.67,431154,338300.03,92853.97,27856.47,23213.76,4642.71
"Friends & Company, Charleston, IL.",140700499,Charleston,2,2347.47,2022.03,325.44,879,553.51,325.49,97.67,81.4,16.27
"FRIENDS CIRCLE CLUB, INC.",120702281,Moline,4,1297997.65,1181238.38,116759.27,360748,243988.73,116759.27,35028.38,29190.34,5838.04
"FRITZ'S, LTD.",120701261,Manhattan,5,2658736.52,2455128.68,203607.84,847723,644115.06,203607.94,61082.91,50902.42,10180.49
"Fritzl's Country Inn, Inc.",140701528,Lake Zurich,5,1970618.45,1825671.68,144946.77,637918,492971.23,144946.77,43484.69,36237.27,7247.42
FROGGEEZ LLC,150701498,Centralia,2,333363.5,307379.8,25983.7,91502,65518.28,25983.72,7795.2,6496,1299.2
"Front Square, Inc.",140700263,Tinley Park,5,4605676.25,4239619.95,366056.3,1401141,1035084.7,366056.3,109817.46,91514.57,18302.89
"FRYE DADDY'S, INC.",120709708,Peoria County,5,1882422.36,1715765.73,166656.63,629010,462353.37,166656.63,49997.6,41664.7,8332.9
FSC LEMONT LLC,120703720,Lemont,4,734026,684318.45,49707.55,218844,169136.6,49707.4,14912.68,12427.25,2485.43
"FSI Motorsports, LLC",130702872,Rantoul,5,1809218.06,1669491.7,139726.36,577794,438067.44,139726.56,41918.59,34932.18,6986.41
"FUEHNE'S TAVERN, INC.",120705420,Damiansville,4,1082128.21,998446.69,83681.52,364614,280932.38,83681.62,25104.93,20920.78,4184.15
Fuentes Inc.,150700818,Pekin,3,271226.16,252987.75,18238.41,94783,76544.64,18238.36,5471.75,4559.79,911.96
"FULGENZI'S PIZZA & PASTA, INC.",120710239,Springfield,5,740507.82,676707.04,63800.78,255845,192044.22,63800.78,19140.97,15950.82,3190.15
"FULL HOUSE CBB, LLC",170703713,Maroa,5,1565761.5,1438479.96,127281.54,562273,434991.06,127281.94,38184.8,31820.66,6364.14
"Full House Slots, LLC",170703105,Williamson County,5,834702.39,757705.03,76997.36,278499,201495.04,77003.96,23101.53,19251.28,3850.25
Full Throttle Thursday's Inc.,120700357,Macoupin County,2,386438.86,353064.08,33374.78,129012,95637.22,33374.78,10012.63,8343.86,1668.77
Full Throttle Thursday's Inc.,150701105,Carlinville,4,20650.31,19401.09,1249.22,8584,7334.78,1249.22,374.84,312.37,62.47
"Full Throttle, Inc.",170701714,East Peoria,3,491854.28,451233.32,40620.96,150014,109381.32,40632.68,12190.03,10158.37,2031.66
FUND 01235 L.L.C.,160702660,Savanna,2,1127217.86,1026918.46,100299.4,299045,198745.6,100299.4,30090.18,25075.16,5015.02
"Funny People, LLC",160701912,Niles,5,986073.67,895095.11,90978.56,307144,216143.44,91000.56,27300.38,22750.32,4550.06
"FUZZY'S BAR, INC.",130704888,Danville,5,2843636.41,2609828.81,233807.6,984208,750400.07,233807.93,70142.73,58452.3,11690.43
"Fuzzy's, Inc.",130704559,Cobden,3,1468587.27,1360014.06,108573.21,358372,249798.34,108573.66,32572.6,27143.85,5428.75
FYJ LLC,170700165,Harvey,5,1828578.28,1668354.18,160224.1,648407,488182.9,160224.1,48067.91,40056.61,8011.3
G & A ENTERTAINMENT INC.,170702464,Fairmont City,5,1363056.42,1254568.06,108488.36,442854,334277.64,108576.36,32573.42,27144.53,5428.89
"G & C 2015, INC.",150700583,Lemont,5,7948627.88,7379233.94,569393.94,2333189,1763795.06,569393.94,170819.13,142349.28,28469.85
"G & C Liquors, LLC",160704147,Anna,5,3229708.71,2982533.95,247174.76,915417,668242.24,247174.76,74152.79,61794.01,12358.78
"G & D's Bar, Inc.",120707000,Will County,5,4036625.85,3770054.63,266571.22,1054899,788327.43,266571.57,79972.24,66643.54,13328.7
"G & H Office, Inc.",160703526,Belleville,4,1709883.68,1562442.93,147440.75,548373,400932.25,147440.75,44232.55,36860.46,7372.09
G & K RESTAURANT CORPORATION,170700046,Forest Park,2,1037367.63,955778.17,81589.46,242402,160812.54,81589.46,24477.09,20397.56,4079.53
"G & L Gold, Inc.",140703475,Du Quoin,5,1435510.85,1307766.41,127744.44,503413,375668.56,127744.44,38323.93,31936.62,6387.31
"G & L Inn, Inc.",120707438,Blue Island,3,1953209.12,1801868.04,151341.08,608741,457399.92,151341.08,45402.52,37835.44,7567.08
G & Y Restaurant Corp.,120705583,Justice,5,4762198.02,4354787.69,407410.33,1590553,1183142.67,407410.33,122223.73,101853.1,20370.63
"G and D Food and Brew, Inc.",120701414,East Dubuque,5,2511647.95,2301607.05,210040.9,665469,455428.1,210040.9,63012.77,52510.66,10502.11
"G C Grant Investment, Inc.",170702351,Findlay,3,156853.36,144686.45,12166.91,53848,41681.09,12166.91,3650.22,3041.85,608.37
"G Cubed, Inc.",120700777,Bloomington,4,2774623.57,2550524.75,224098.82,799881,575782.18,224098.82,67230.13,56025.12,11205.01
G N S LLC,120710644,St. Clair County,5,4539068.82,4185243.43,353825.39,1335668,981842.56,353825.44,106148.25,88456.92,17691.33
G&G PANTRY INC.,150701310,Winthrop Harbor,5,5046866.46,4675368.19,371498.27,1574206,1202707.79,371498.21,111450.19,92875.17,18575.02
"G&J Investments, Inc.",130705918,Elmwood Park,5,4650094.53,4297386.11,352708.42,1330516,977807.43,352708.57,105813.33,88177.82,17635.51
G&R CORPORATION,170700906,Sangamon County,5,3021126.64,2756850.99,264275.65,1032657,768381.36,264275.64,79283.29,66069.43,13213.86
"G. & T. Holdings, Inc.",120711020,Vandalia,5,3484740.74,3210013.3,274727.44,1061741,787013.4,274727.6,82418.87,68682.41,13736.46
G.A.K. Corp.,120703019,Morton Grove,5,7703567.66,7042371.07,661196.59,2270135,1608938.41,661196.59,198359.72,165299.78,33059.94
G.B. CONSOLIDATED INC.,170700181,Loves Park,5,4233946.31,3924009.93,309936.38,1329062,1019125.32,309936.68,92981.67,77484.73,15496.94
G.N.U Enterprises INC,120707216,Joliet,5,599831.69,549742.25,50089.44,194659,144569.56,50089.44,15027.21,12522.67,2504.54
"G.O.B.T., INC.",160702886,Oakbrook Terrace,5,4144417.01,3793730.07,350686.94,1349135,998448.06,350686.94,105206.61,87672.22,17534.39
G.P.3 Inc.,160703580,Clifton,5,258416.8,234757.54,23659.26,88115,64455.74,23659.26,7098.06,5915.06,1183
GA Gaming LLC,170701296,Madison,5,4195858.15,3872501.08,323357.07,1309720,986363.09,323356.91,97007.64,80839.71,16167.93
"GAA ENTERPRISES, INC.",160703027,Chicago Ridge,5,1655159.36,1535392.84,119766.52,556505,436738.48,119766.52,35930.76,29942.31,5988.45
Gabbert Properties Inc.,120703497,East Peoria,5,2618483.88,2375664.83,242819.05,781036,538216.99,242819.01,72846.23,60705.21,12141.02
"GAD CORPORATE ENTERPRISES, INC.",130701735,Will County,5,529248.33,481855.83,47392.5,168628,121235.35,47392.65,14218.04,11848.37,2369.67
Gaggle Dining Corporation,180700990,Lakemoor,5,1033580.72,949002.96,84577.76,335682,251104.31,84577.69,25373.76,21144.81,4228.95
GALATI'S GRILL AND PUB INC.,160703131,Lake Villa,2,152510.68,138034.69,14475.99,50466,35990.01,14475.99,4342.91,3619.11,723.8
"Galati's Pizza & Pasta, Inc.",140703881,Cary,5,3475318.93,3216135.53,259183.4,1083144,823960.4,259183.6,77755.75,64796.49,12959.26
Galaxy Cafe & Gaming LLC,170701487,Lily Lake,5,2899787.97,2698053.68,201734.29,806105,604370.61,201734.39,60520.54,50433.79,10086.75
"Galaxy Gaming, Inc",140702056,Springfield,5,8037571.93,7346288.37,691283.56,2756650,2065366.44,691283.56,207385.67,172821.42,34564.25
"GALENA PRIME HOTELS, LLC",170701486,Galena,5,686408.62,628660.49,57748.13,210926,153074.61,57851.39,17355.76,14463.14,2892.62
"Galena Properties, LLC",150701387,Gilman,5,2303817.78,2107611.66,196206.12,832206,635999.78,196206.22,58862.38,49051.99,9810.39
"GALENA TRAIL, INC.",120709583,Dixon,5,1093450.92,1004468.62,88982.3,298488,209505.7,88982.3,26695.24,22246.06,4449.18
GALENA VENTURES LLC,150702627,Menominee,4,178612.54,165780.77,12831.77,76978,64146.23,12831.77,3849.59,3208,641.59
Galesburg Columbian Home Association,120710004,Galesburg,5,1534286.74,1387978.7,146308.04,574481,428172.77,146308.23,43893.02,36577.54,7315.48
"Galesburg Properties, LLC",120703894,Galesburg,3,968613.88,901610.95,67002.93,234930,167927.07,67002.93,20101.26,16751.08,3350.18
Galesburg Wine Bar Inc.,170703566,Galesburg,4,71986.36,64054.7,7931.66,24962,17006.54,7955.46,2386.67,1988.9,397.77
"GALLANO-CONCORDIA, LTD.",120712502,Belvidere,5,4396632.6,4032745.06,363887.54,1436845,1072957.5,363887.5,109166.93,90972.45,18194.48
Gamblin' Granny's LLC,160702056,Southern View,5,2666648.83,2464165.33,202483.5,905300,702816.65,202483.35,60745.55,50621.31,10124.24
Gameday Grill Inc.,140703291,Downs,3,1713475.01,1556900.68,156574.33,466226,309651.67,156574.33,46972.71,39143.95,7828.76
Gametime Sports Bar & Grill Inc.,160700129,Joliet,5,7152536.36,6555910.55,596625.81,2167236,1570610.19,596625.81,178988.3,149156.95,29831.35
"GAMING-EP, INC.",170701804,Melrose Park,5,1580814.34,1440683.62,140130.72,524914,384783.28,140130.72,42039.76,35033.15,7006.61
GANDER INCORPORATED,130700205,El Paso,5,2812283.19,2614090.62,198192.57,720823,522630.76,198192.24,59458.46,49548.72,9909.74
Gano Athletic Club,130704771,Chicago Ridge,3,887930.4,817314.29,70616.11,270844,200229.29,70614.71,21184.67,17653.9,3530.77
Gans INC.,130705749,Rockdale,5,1140607.79,1045552.25,95055.54,351276,256220.46,95055.54,28517.38,23764.53,4752.85
"Ganzpro, Inc.",120703340,Bradley,5,2924911.36,2684815.23,240096.13,1093127,853030.84,240096.16,72029.41,60024.52,12004.89
"Gap Entertainment, Inc.",120705521,Worth,5,4555599.74,4212796.74,342803,1414222,1071419,342803,102841.25,85701.06,17140.19
"GAR-EN, INC.",140701143,Chicago Ridge,3,730510.77,669659.15,60851.62,231701,170849.38,60851.62,18255.94,15213.3,3042.64
"GARAA, INC.",170701227,Hoffman Estates,5,678671.26,613835.5,64835.76,238321,173485.24,64835.76,19451.17,16209.34,3241.83
GARCIA BROTHERS RESTAURANT INC.,150704311,Carpentersville,1,276417.42,253520.86,22896.56,101471,78574.44,22896.56,6869.1,5724.28,1144.82
Garcia Hospitality Inc.,140703760,Homer Glen,5,2867416.62,2617370.88,250045.74,770572,520526.36,250045.64,75014.36,62512.02,12502.34
"GARCIA RESTAURANTS, INC.",160701918,Berwyn,5,218813.01,205206.45,13606.56,69723,56116.44,13606.56,4082.02,3401.7,680.32
"Garden Gate Peoria, Inc.",120712504,Peoria,4,1195644.24,1109005.81,86638.43,329018,242379.53,86638.47,25991.84,21659.86,4331.98
"Gario's Pizza Villa, LTD.",120711374,Montgomery,5,2020244.08,1851403.56,168840.52,646596,477755.48,168840.52,50652.9,42210.78,8442.12
"GARRETT'S MAIN TRACK INN, INC.",120709310,Carbon Cliff,5,974677.85,892399.71,82278.14,280150,197871.31,82278.69,24684.18,20570.17,4114.01
"Garritano's Carol's Corner, Inc.",120712432,East Dundee,5,4431871.98,4089482.13,342389.85,1477889,1135499.14,342389.86,102717.51,85597.91,17119.6
GARY A BROOKS,130700586,Marietta,5,1918765.6,1764093.51,154672.09,563249,408576.91,154672.09,46402.32,38668.65,7733.67
Gary Best Stockyards Inc,120707200,Sangamon County,5,1170055.5,1091562.17,78493.33,405606,327112.77,78493.23,23548.13,19623.45,3924.68
Gary Frank Fehrenbacher,150703174,Clay County,3,491219.94,457666.25,33553.69,168207,134653.31,33553.69,10066.23,8388.53,1677.7
Gary L. Kirkpatrick,120707220,Lenzburg,4,2512490.04,2325399.97,187090.07,669119,482028.93,187090.07,56127.55,46772.97,9354.58
Gary Wayne Williams,170700164,Clark County,3,797123.37,726724.21,70399.16,273626,203226.84,70399.16,21119.96,17599.99,3519.97
"GATES PA., INC.",150702507,Phoenix,5,5503596.59,5050714.71,452881.88,1973317,1520434.95,452882.05,135865.22,113221.04,22644.18
"Gateway FS, Inc.",181000445,Waterloo,5,72012.9,66021.09,5991.81,24821,18828.79,5992.21,1797.66,1498.05,299.61
"Gatsby's Gaming, LLC",140703537,Clay City,5,3243942.98,2993510.41,250432.57,936026,685593.48,250432.52,75130.45,62608.74,12521.71
"GBK Enterprises, Inc.",150702614,River Grove,5,3276156.26,3011030.15,265126.11,1037182,772055.99,265126.01,79538.5,66282.11,13256.39
"GCI Consolidated, LLC",130704024,Algonquin,3,1744814.13,1617245.38,127568.75,585385,457816.25,127568.75,38270.96,31892.48,6378.48
"GD & JM, INC.",130706229,Rockford,5,1192355.91,1100883.52,91472.39,408489,317016.73,91472.27,27441.86,22868.23,4573.63
GD & K Inc. ,120700410,Kane County,5,2843846.99,2605502,238344.99,925080,686735.06,238344.94,71504.16,59586.84,11917.32
"GED, Inc.",120708652,Atlanta,3,715136.01,661767.66,53368.35,233866,180497.65,53368.35,16010.87,13342.42,2668.45
GEIER CORP,120706572,Pekin,4,667736.39,612384.24,55352.15,216548,161195.97,55352.03,16606,13838.33,2767.67
"Gemini Milo's, Inc.",140701190,Urbana,3,151757.19,139049.25,12707.94,57162,44454.1,12707.9,3812.41,3176.99,635.42
Gemstop Inc.,170703474,Ursa,3,237408.74,214661.75,22746.99,64931,42183.78,22747.22,6824.26,5686.89,1137.37
Gemstop Inc.,141003203,Loraine,4,2097976.48,1967310.24,130666.24,518371,387704.76,130666.24,39200.69,32667.29,6533.4
"GENE'S PLACE, INC.",120702991,Rockford,5,6028570.2,5553900.03,474670.17,1884927,1410207.13,474719.87,142416.56,118680.47,23736.09
"General Hill Post 3601, Veterans of Foreign Wars of the United States",120900538,Paris,5,3202662.02,2961794.91,240867.11,905984,665116.89,240867.11,72260.58,60217.16,12043.42
GENERAL U.S. GRANT POST NO. 2665 VETERANS OF FOREIGN WARS OF THE UNITED STA,120903325,Galena,5,4558209.86,4223059.25,335150.61,1396820,1061669.39,335150.61,100545.61,83788.04,16757.57
"Generations Bar & Grill, LTD.",120709534,Moline,5,1541784.15,1420956.17,120827.98,476925,356097.02,120827.98,36248.94,30207.46,6041.48
"GENNARO LIQUORS, INC.",150703345,Oak Lawn,5,8710348.08,8042284.82,668063.26,2868024,2199960.7,668063.3,200419.67,167016.42,33403.25
"GENO'S FOOD AND LIQUOR, INC.",130701388,Chicago Heights,5,2023286.18,1852566.49,170719.69,809856,639136.31,170719.69,51216.31,42680.27,8536.04
"Genoa Gaming, Inc.",170701870,Genoa,5,2496657.1,2277907.51,218749.59,757046,538296.41,218749.59,65625.39,54687.84,10937.55
